,Title,IMDB id,Year,Rating,Genre,Top_cast
307,Shaitan,tt1836912,2011,7.2," Action, Crime, Drama, Thriller","Kalki Koechlin, Shiv Panditt, Gulshan Devaiah  "
308,Jaan-E-Mann: Let's Fall in Love... Again,tt0456481,2006,6.1,"Comedy, Drama, Musical, Romance","Salman Khan, Akshay Kumar, Preity G Zinta  "
309,Bol Bachchan,tt1728986,2012,5.6,"Action, Comedy","Amitabh Bachchan, Ajay Devgn, Abhishek Bachchan  "
310,Ajnabee,tt0278291,2001,6.3,"Action, Crime, Drama, Mystery, Romance, Thriller","Akshay Kumar, Bobby Deol, Kareena Kapoor  "
311,Himmatwala,tt2344678,1983,4.7,"Action, Comedy, Drama","Sridevi, Jeetendra, Amjad Khan  "
312,Heropanti 2,tt11873440,2022,2.4,"Action, Comedy, Crime, Romance","Simon Ellis, Kriti Sanon, Nawazuddin Siddiqui  "
313,Judwaa 2,tt5456546,2017,3.6,"Action, Comedy","Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu  "
314,Manikarnika: The Queen of Jhansi,tt6903440,2019,6.4,"Action, Biography, Drama, History","Kangana Ranaut, Danny Denzongpa, Suresh Oberoi  "
315,Mom,tt2660806,2017,7.2,"Crime, Drama, Thriller","Sridevi, Sajal Ali, Akshaye Khanna, Adnan Siddiqui"
316,Golmaal Again,tt1806913,2017,5.0,"Action, Comedy, Fantasy, Horror","Ajay Devgn, Arshad Warsi, Tabu,"
317,MSG the Warrior: Lion Heart,tt6040012,2016,7.2,"Action, Adventure, Fantasy, Sci-Fi"," Muntazir Ahmad, Gaurav Sharma Influencer, Asho...  "
318,CC2C,tt1091229,2009,4.2,"Action, Adventure, Comedy, Drama, Fantasy","Akshay Kumar, Mithun Chakraborty, Deepika Padu...  "
319,Sachin - A Billion Dreams,tt4640206,2017,8.5,"Documentary, Sport ","Sachin Tendulkar, Mikail Gandhi, Anjali Tendulkar  "
320,Humshakals,tt3036740,2014,1.7,"Comedy, Drama, Romance","Saif Ali Khan, Riteish Deshmukh, Ram Kapoor  "
321,Mission Mangal,tt9248972,2019,6.5,"Drama, History"," Akshay Kumar, Vidya Balan, Taapsee Pannu  "
322,Mohra,tt0110546,1994,7.5,"Action, Drama, Thriller","Akshay Kumar, Suniel Shetty, Raveena Tandon  "
323,Awara Paagal Deewana,tt0319020,2002,6.2,"Action, Comedy, Crime, Drama, Thriller","Akshay Kumar, Suniel Shetty, Aftab Shivdasani  "
324,I Hate Luv Storys,tt1667838,2010,5.7,"Comedy, Drama, Romance","Imran Khan, Sonam Kapoor, Sammir Dattani  "
325,Bhoothnath,tt0991346,2008,6.4,"Comedy, Drama, Family, Fantasy, Horror","Amitabh Bachchan, Juhi Chawla, Satish Shah  "
326,Chup Chup Ke,tt0464160,2006,6.9,"Comedy, Drama, Romance","Kareena Kapoor, Shahid Kapoor, Paresh Rawal  "
327,Khoobsurat,tt3554418,2014,6.4," Comedy, Romance","Sonam Kapoor, Fawad Khan, Ratna Pathak Shah  "
328,Singh Is Bliing,tt3696192,2015,5.0," Action, Comedy, Romance","Akshay Kumar, Amy Jackson, Lara Dutta  "
329,Saawariya,tt0758053,2007,5.2,"Drama, Musical, Romance","Rani Mukerji, Ranbir Kapoor, Sonam Kapoor  "
330,Main Tera Hero,tt2762334,2014,5.1,"Action, Comedy, Romance","Varun Dhawan, Ileana D'Cruz, Nargis Fakhri  "
331,It's Entertainment,tt2978626,2014,4.5,"Action, Comedy, Drama","Akshay Kumar, Tamannaah Bhatia, Junior  "
332,Socha Na Tha,tt0451919,2005,7.4,"Comedy, Drama, Romance","Abhay Deol, Ayesha Takia, Ayesha Jhulka  "
333,Raju Ban Gaya Gentleman,tt0173102,1992,6.7,"Comedy, Musical, Romance","Shah Rukh Khan, Juhi Chawla, Nana Patekar  "
334,Shubh Mangal Savdhan,tt6971752,2017,6.9,"Comedy, Romance","Ayushmann Khurrana, Bhumi Pednekar, Seema Pahwa "
